year,month,period,trend_2019m02,post_april_2019,partial_march_2019,rate15,control_count,control_population,control_rate,log_rate_gap,month_factor,counterfactual_gap,dynamic_log_effect
2023,5,2023M05,51,1,0,0.29858392870513,5512,9029997.11190707,61.0409940522772,-5.32024988958217,5,-5.33931918461936,0.0190692950371938
2023,6,2023M06,52,1,0,0.497639881175216,5181,9029997.11190707,57.3754336329551,-4.74749481993747,6,-5.13574238686397,0.388247566926498
2023,7,2023M07,53,1,0,0.13391502403203,5453,9040533.74015756,60.3172352067895,-6.11016771642147,7,-5.39251192657655,-0.717655789844927
2023,8,2023M08,54,1,0,0.167393780040038,4928,9040533.74015756,54.5100559506801,-5.78579147539456,8,-5.0249328060512,-0.760858669343357
2023,9,2023M09,55,1,0,0.13391502403203,6043,9040533.74015756,66.8433985612743,-6.21290237785697,9,-5.31023619639602,-0.902666181460951
2023,10,2023M10,56,1,0,0.133265766048748,5618,9057464.4787427,62.026188600409,-6.14296659626166,10,-5.16145069114957,-0.981515905112088
2023,11,2023M11,57,1,0,0.199898649073121,6696,9057464.4787427,73.9279741666676,-5.91303609265862,11,-5.23030998136452,-0.682726111294091
2023,12,2023M12,58,1,0,0.199898649073121,8730,9057464.4787427,96.3845899753597,-6.17829112932295,12,-5.40800890381652,-0.770282225506429
2024,1,2024M01,59,1,0,0.16768785709416,5218,9019216.45961125,57.8542495721952,-5.84357793068358,1,-5.41585257455478,-0.427725356128801
2024,2,2024M02,60,1,0,0.268300571350655,4516,9019216.45961125,50.0708683533985,-5.22908676101072,2,-5.35583283129346,0.126746070282734
2024,3,2024M03,61,1,0,0.435988428444815,5080,9019216.45961125,56.3241831787565,-4.861263560532,3,-5.49861715760161,0.637353597069608
2024,4,2024M04,62,1,0,0.362546208629831,5202,8898125.19856447,58.461753278536,-5.08297609104235,4,-5.38515580157812,0.302179710535763
2024,5,2024M05,63,1,0,0.494381193586134,5432,8898125.19856447,61.0465674373332,-4.81608538596845,5,-5.45886697744989,0.642781591481442
2024,6,2024M06,64,1,0,0.29662871615168,5024,8898125.19856447,56.4613318860755,-5.24883004864394,6,-5.2552901796945,0.00646013105055587
2024,7,2024M07,65,1,0,0.567726304888441,5431,8895845.32417593,61.0509715725425,-4.67782494878668,7,-5.51205971940707,0.834234770620396
2024,8,2024M08,66,1,0,0.200373989960626,4943,8895845.32417593,55.5652646811044,-5.62512797888695,8,-5.14448059888173,-0.480647380005226
2024,9,2024M09,67,1,0,0.133582659973751,5278,8895845.32417593,59.3310675676449,-6.09616789075143,9,-5.42978398922655,-0.666383901524881
2024,10,2024M10,68,1,0,0.30550354265115,5550,8760357.79394432,63.3535767664249,-5.33452526977294,10,-5.2809984839801,-0.0535267857928439
2024,11,2024M11,69,1,0,0.37339321879585,6587,8760357.79394432,75.190992821701,-5.305154656211,11,-5.34985777419505,0.0447031179840494
2024,12,2024M12,70,1,0,0.1357793522894,7955,8760357.79394432,90.806793365209,-6.50545822002068,12,-5.52755669664705,-0.977901523373625
