year,uf,sex,age_group,persons_married
2003,AP,male,16,1
2003,AP,male,17,4
2003,AP,male,18,9
2003,AP,male,19,18
2003,AP,male,20-24,220
2003,AP,male,25-29,317
2003,AP,male,30-34,238
2003,AP,male,35-39,142
2003,AP,male,40-44,87
2003,AP,male,45-49,60
2003,AP,male,50-54,35
2003,AP,male,55-59,17
2003,AP,male,60-64,8
2003,AP,male,65+,13
2003,AP,male,<15,0
2003,AP,male,unknown,0
2003,BA,female,15,125
2003,BA,female,16,1873
2003,BA,female,17,2251
2003,BA,female,18,2815
2003,BA,female,19,2988
2003,BA,female,20-24,14625
2003,BA,female,25-29,9175
2003,BA,female,30-34,4824
2003,BA,female,35-39,2566
2003,BA,female,40-44,1461
2003,BA,female,45-49,939
2003,BA,female,50-54,657
2003,BA,female,55-59,513
2003,BA,female,60-64,240
2003,BA,female,65+,294
2003,BA,female,<15,50
2003,BA,female,unknown,0
2003,BA,male,15,6
2003,BA,male,16,57
2003,BA,male,17,137
2003,BA,male,18,607
2003,BA,male,19,1127
2003,BA,male,20-24,13518
2003,BA,male,25-29,12647
2003,BA,male,30-34,7094
2003,BA,male,35-39,3770
2003,BA,male,40-44,2114
2003,BA,male,45-49,1230
2003,BA,male,50-54,814
2003,BA,male,55-59,669
2003,BA,male,60-64,535
2003,BA,male,65+,1068
2003,BA,male,<15,2
2003,BA,male,unknown,1
2003,CE,female,15,96
2003,CE,female,16,1242
2003,CE,female,17,1405
2003,CE,female,18,1773
2003,CE,female,19,1744
2003,CE,female,20-24,8605
2003,CE,female,25-29,5165
2003,CE,female,30-34,2529
2003,CE,female,35-39,1372
2003,CE,female,40-44,640
2003,CE,female,45-49,397
2003,CE,female,50-54,264
2003,CE,female,55-59,146
2003,CE,female,60-64,62
2003,CE,female,65+,105
2003,CE,female,<15,41
2003,CE,female,unknown,1
2003,CE,male,15,8
2003,CE,male,16,77
2003,CE,male,17,156
2003,CE,male,18,568
2003,CE,male,19,976
2003,CE,male,20-24,8527
2003,CE,male,25-29,6952
2003,CE,male,30-34,3598
2003,CE,male,35-39,1874
2003,CE,male,40-44,1042
2003,CE,male,45-49,528
2003,CE,male,50-54,316
2003,CE,male,55-59,271
2003,CE,male,60-64,226
2003,CE,male,65+,464
2003,CE,male,<15,4
2003,CE,male,unknown,0
2003,DF,female,15,3
2003,DF,female,16,191
2003,DF,female,17,271
2003,DF,female,18,429
2003,DF,female,19,630
2003,DF,female,20-24,4024
2003,DF,female,25-29,3140
2003,DF,female,30-34,1534
2003,DF,female,35-39,810
2003,DF,female,40-44,383
2003,DF,female,45-49,206
2003,DF,female,50-54,99
2003,DF,female,55-59,50
2003,DF,female,60-64,23
2003,DF,female,65+,20
2003,DF,female,<15,0
2003,DF,female,unknown,27
2003,DF,male,15,0
2003,DF,male,16,3
2003,DF,male,17,20
2003,DF,male,18,94
2003,DF,male,19,229
2003,DF,male,20-24,3154
2003,DF,male,25-29,3605
2003,DF,male,30-34,2150
2003,DF,male,35-39,1168
2003,DF,male,40-44,568
2003,DF,male,45-49,328
2003,DF,male,50-54,194
2003,DF,male,55-59,106
2003,DF,male,60-64,84
2003,DF,male,65+,116
2003,DF,male,<15,0
2003,DF,male,unknown,21
2003,ES,female,15,34
2003,ES,female,16,798
2003,ES,female,17,938
2003,ES,female,18,1122
2003,ES,female,19,1289
2003,ES,female,20-24,6417
2003,ES,female,25-29,3648
2003,ES,female,30-34,1680
2003,ES,female,35-39,926
2003,ES,female,40-44,539
2003,ES,female,45-49,350
2003,ES,female,50-54,198
2003,ES,female,55-59,111
2003,ES,female,60-64,79
2003,ES,female,65+,90
2003,ES,female,<15,19
2003,ES,female,unknown,1
2003,ES,male,15,2
2003,ES,male,16,18
2003,ES,male,17,64
2003,ES,male,18,292
2003,ES,male,19,512
2003,ES,male,20-24,5993
2003,ES,male,25-29,5218
2003,ES,male,30-34,2675
2003,ES,male,35-39,1373
2003,ES,male,40-44,725
2003,ES,male,45-49,414
2003,ES,male,50-54,266
2003,ES,male,55-59,174
2003,ES,male,60-64,152
2003,ES,male,65+,359
2003,ES,male,<15,0
2003,ES,male,unknown,2
2003,GO,female,15,101
2003,GO,female,16,1214
2003,GO,female,17,1452
2003,GO,female,18,1767
2003,GO,female,19,1854
2003,GO,female,20-24,8630
2003,GO,female,25-29,5315
2003,GO,female,30-34,2667
2003,GO,female,35-39,1504
